,source,target,count
605,홍지유,악동 클럽 (디 에이디),4
606,몬스터팩토리,이엑스아이디,4
607,심은지,원더걸스,4
608,D`DAY,브라운 아이드 걸스,4
609,이승재,더블에스오공일,4
610,러버소울 (Rubber Soul),러버소울,4
611,이상민,클레오,4
612,이형석,엔소닉,4
613,민연재,백퍼센트,4
614,니엘,틴탑,4
615,노민혁,클릭비,4
616,라도,비스트,4
617,권도윤,힌트,4
618,JQ,멜로디데이,4
619,유민 (멜로디데이),멜로디데이,4
620,돌아온탕자,블레이디,4
621,유리 (YURI),소녀시대,4
622,JQ,레드벨벳,4
623,서지음,레드벨벳,4
624,노주환,여자친구,4
625,도마현,풍뎅이,4
626,Good Life,하이라이트,4
627,서현 (SEOHYUN),소녀시대,4
628,곽권일,솔리드,4
629,서지음,위키미키,4
630,서지음,우주소녀,4
631,강은경,문차일드,4
632,이단옆차기,소년공화국,4
633,강전명,비트윈,4
634,효린,씨스타,4
635,강타 (KANGTA),플라이 투 더 스카이,4
636,전다운,비에이피,4
637,박선주 (Pak Sun Zoo),엔알지,4
638,이단옆차기,스피드,4
639,JQ,비에이피,4
640,IRREGULARS,임팩트,4
641,우태운,터보,4
642,민연재,씨스타,4
643,장대성,쥬얼리,4
644,노는어린이,에이핑크,4
645,선우 (THE BOYZ),더보이즈,4
646,선미,원더걸스,4
647,신승익,틴탑,4
648,장대성,써클,4
649,노는어린이,다이아,4
650,민연재,스누퍼,4
651,이단옆차기,에이핑크,4
652,휘영,에스에프나인,4
653,안형석,비트윈,4
654,세용,마이네임,4
655,우태운,제이제이씨씨,4
656,를(LEL),티맥스,3
657,이단옆차기,제국의 아이들,3
658,로빈,우주소녀,3
659,이유애린,나인뮤지스,3
660,진리 (Full8loom),터보,3
661,달리,프로미스나인,3
662,김태윤,브라운 아이드 걸스,3
663,더 네임,보이프렌드,3
664,김태윤,컬러링 베이비 7공주,3
665,디즈,로미오,3
666,더 네임,씨스타,3
667,은혁 (EUNHYUK),슈퍼 주니어-디앤이,3
668,김창환,악동 클럽 (디 에이디),3
669,이단옆차기,파이브돌스,3
670,이용민,알이에프,3
671,이승호,악동 클럽 (디 에이디),3
672,주찬양 (티맥스),갓세븐,3
673,SU4MAN,비오케이,3
674,진호 (펜타곤),펜타곤,3
675,디액션 (D.Action),시크릿,3
676,STAINBOYS,다이아,3
677,주영훈,슈가,3
678,김태성,샤이니,3
679,SWEETUNE,러블리즈,3
680,도나,달샤벳,3
681,백호 (뉴이스트),뉴이스트,3
682,이기 (오레오),뉴이스트,3
683,이스란,슈퍼주니어,3
684,준 (SEVENTEEN),세븐틴,3
685,이기 (오레오),스카프,3
686,라이머,인피니트 에이치,3
687,라이머,씨스타,3
688,라이머,몬스타엑스,3
689,이보라,오마이걸,3
690,나고,몬스타엑스,3
691,진리 (Full8loom),다이아,3
692,나영,아이오아이,3
693,옐 (YEL),피에스타,3
694,나코,솔리드,3
695,남기상,달샤벳,3
696,라도,에이핑크,3
697,오레오,업텐션,3
698,이상규,파란,3
699,이상인,슈가,3
700,이노베이터,에이오에이,3
701,라도,포미닛,3
702,지인,엠블랙,3
703,지효,트와이스,3
704,별들의 전쟁,트와이스,3
705,별들의 전쟁,몬스타엑스,3
706,이기 (오레오),프로미스나인,3
707,김환,허니스트,3
708,똘아이박,다이아,3
