,artist,member_num,gender,idol_id,agency_old,agency_new,artist_m,debut_y,debut_t
114,애프터 스쿨,4 (10),여,322666,,플레디스,"유이 (애프터스쿨), 정아 (애프터스쿨), 리지 (오렌지 캬라멜), 나나 (애프터스쿨), 레이나 (Raina), 이영 (애프터스쿨), 가은 (애프터스쿨)",2009,AH
115,투애니원,4,여,406712,,YG,"산다라박, 박봄, CL",2009,Fire
116,포미닛,5,여,417985,,큐브,"현아, 허가윤 (4minute), 전지윤 (JENYER), 남지현 (4minute), 권소현 (4minute)",2009,Hot Issue
117,티아라,4 (6),여,412000,,MBK,"은정 (티아라), 효민 (티아라), 지연, 큐리 (티아라)",2009,좋은 사람 Ver.1
118,에프엑스,4 (5),여,428501,,SM,"크리스탈 (KRYSTAL), 루나 (LUNA), 빅토리아 (VICTORIA), 엠버 (AMBER)",2009,라차타 (LA chA TA)
119,햄,3 (4),여,433421,,이연,"수진, 가현, 효니",2009,
120,시크릿,1 (4),여,435121,,TS,"송지은, 전효성, 정하나, 한선화",2009,I Want You Back
121,레인보우,7,여,440320,,DSP미디어,"김재경, 현영 (레인보우), 고우리, 지숙, 노을, 오승아, 정윤혜",2009,Gossip Girl
122,남녀공학,10,혼,13149,,코어콘텐츠미디어,"한빛효영, 한별혜원, 강행, 정우 (스피드), 우태운, 이노, 성민 (스피드), 찬미, 서은교, 종국 (스피드)",2010,Too Late (Part.1)
123,씨엔블루,4,남,450801,,FNC,"정용화 (CNBLUE), 이종현 (CNBLUE), 강민혁 (CNBLUE), 이정신 (CNBLUE)",2010,외톨이야
124,제국의 아이들,9,남,449941,,스타제국,"황광희, 문준영 (ZE:After), 임시완, Kevin, 김태헌, 정희철, 하민우, 박형식, 김동준",2010,Mazeltov
125,제이와이제이,3,남,499453,,씨제스,"김재중, 박유천, XIA (준수)",2010,Empty
126,대국남아,5,남,459644,,씽(오픈월드),"미카, 가람, 현민, 인준 (대국남아), Jay",2010,동경소년
127,인피니트,6 (7),남,476181,,울림,"김성규, 엘 (인피니트), 장동우 (인피니트), 남우현, 이성열 (인피니트), 이성종 (인피니트)",2010,다시 돌아와
128,틴탑,5 (6),남,483581,,티오피미디어,"C.A.P, 니엘, 천지, 창조, Ricky",2010,박수 (Clap)
