,artist,member_num,gender,idol_id,agency_old,agency_new,melon_artist,artist_m,debut_y,debut_t
195,히스토리,5,남,721703.0,,로엔,제아파이브,"임시완, 김동준, 박형식, Kevin, 하민우",2013,헤어지던 날
196,엘씨나인,5 (6),남,723216.0,,내가네트워크,히스토리,"송경일, 나도균, 김시형, 김재호, 장이정 (JANGYIJEONG)",2013,Dreamer (Narr. 아이유)
197,핫젝갓알지,5,남,722812.0,,,LC9,"제이효, 라사, 킹, 아오, 준, 이든",2013,MaMa Beat (Feat. 가인)
198,방탄소년단,7,남,672375.0,,빅히트,핫젝갓알지,,2013,할 수 있어
199,스피드,8,남,714785.0,,MBK,방탄소년단,"RM, SUGA, 진, j-hope, 지민, V, 정국",2013,No More Dream
200,소년공화국,5,남,724751.0,,유니버설뮤직해피트라이브,스피드,"성민 (스피드), 종국 (스피드), 정우 (스피드), KIDZ (키즈), 유환 (스피드), 태하 (스피드), KI-O",2013,IT`S OVER (Feat. 박보영)
201,엔오엠,3 (5),남,730335.0,,제이엠스타,소년공화국 (Boys Republic),"선우, 민수, 성준, 수웅, 원준 (소년공화국)",2013,전화해 집에 (Party Rock)
202,프로씨,2,남,745722.0,,지앤아이,N.O.M,"J.K, KOM, NIO, Q",,
203,투윤,2,여,715898.0,,큐브,Pro C (프로씨),,2013,
204,다소니,2,여,717917.0,,바나나컬쳐,2YOON (포미닛 투윤),"전지윤 (JENYER), 허가윤 (4minute)",2013,24/7
205,레이디스 코드,3 (5),여,718807.0,,일광폴라리스,다소니,"솔지 (EXID), 하니 (EXID)",2013,Good Bye
206,베스티,4,여,727818.0,,YNB,레이디스 코드,"소정 (레이디스 코드), 애슐리, 주니",2013,나쁜여자
207,와썹,7,여,729885.0,,마피아레코드,베스티,"혜연, 유지, 다혜, 해령",2013,두근두근
208,키스&크라이,4,여,741841.0,,위닝인사이트엠,Wa$$up,"나리, 수진, 우주, 지애",2013,Wa$$up
209,틴트,5,여,742722.0,,GH,키스 & 크라이,보혜,,
210,엠앤엔,2,여,744134.0,,미스틱,틴트,"메이, 미림, 미니, 제이미, 상미",2013,첫눈에 반했어
211,풍뎅이,3,여,747339.0,,DoMA,M&N (미료&나르샤),"미료, 나르샤 (Brown Eyed Girls)",,
212,비트윈,2 (6),남,749361.0,,골드문뮤직에렌,풍뎅이 (PDE),"빨강 (Red), 파랑 (Blue), 노랑 (Yellow)",2013,알탕
213,비에이,5,남,749603.0,,크롬,비트윈 (BEATWIN),"선혁, 영조, 정하, 윤후, 성호",2014,갖고싶니 (She`s My Girl)
214,갓세븐,7,남,751059.0,,JYP,비에이 (Be.A),"홍규, 영균, 밀리 (MILLY), 아토 (ATO), 범 (BomB)",2014,뭣 모르고
215,투하트,2,남,760193.0,울림,SM,GOT7 (갓세븐),"JB (GOT7), 진영 (GOT7), 마크 (GOT7), 잭슨 (GOT7), 영재 (GOT7), 뱀뱀 (GOT7), 유겸 (GOT7)",2014,Girls Girls Girls
216,제이제이씨씨,7 (5),남,762950.0,,더잭키찬그룹코리아,"투하트 (우현, 키)","남우현, 키 (KEY)",2014,Delicious
217,하이포,4,남,767374.0,,NAP,JJCC (제이제이씨씨),"산청, 심바, 에디, 이코, 프린스맥, 율, 지카",2014,첨엔 다 그래
218,빅플로,6,남,775702.0,,에이치오컴퍼니,HIGH4 (하이포),"레노, 백명한, 임영준 (하이포), 알렉스 (하이포)",2014,봄 사랑 벚꽃 말고
219,헤일로,6,남,775874.0,,아인홀딩스,빅플로,"HIGHTOP, 론, 의진, 성민, 렉스",2014,딜라일라 (Delilah)
220,엘에이유,3 (5),남,1383117.0,,팬,헤일로 (HALO),"윤동 (YOON DONG), 희천 (HEE CHEON), 재용 (JAE YONG), 인행 (IN HAENG), 디노 (DINO), 오운 (OOON)",2014,체온이 뜨거워
221,비아이지,5,남,777394.0,,GH,L.A.U,"해원, 초이, 경진, 진완, 동현",,
222,위너,4 (5),남,775197.0,,YG,비아이지 (B.I.G),"벤지 (비아이지), 건민, 희도, 제이훈, 국민표",2014,안녕하세요
223,유니크,5,남,786696.0,,위에화,WINNER,"강승윤, 이승훈, MINO, 김진우",2014,공허해
224,매드타운,7,남,786412.0,,지앤아이,UNIQ (유니크),"승연 (Luizy), 성주 of Uniq, 이보, 문한, 조이쉔",2014,Falling In Love
225,핫샷,6,남,787976.0,,케이오사운드/아더앤에이블/스타크루이엔티,매드타운 (MADTOWN),"호 (H.O), 허준 (HEOJUN), 버피 (BUFFY), 조타 (JOTA), 이건 (매드타운), 무스 (MOOS), 대원 (DAEWON)",,
226,지디 앤 태양,2,남,790881.0,,YG,핫샷 (HOTSHOT),"준혁, 티모테오, 노태현, 하성운, 윤산, 호정",2014,Take A Shot
227,인피니트F,3,남,789608.0,,울림,GD X TAEYANG,"G-DRAGON, 태양",,
228,칠학년일반,7,여,753271.0,,다른별,인피니트F,"엘 (인피니트), 이성열 (인피니트), 이성종 (인피니트)",2014,가슴이 뛴다
229,윙스,2,여,760801.0,,소니뮤직,칠학년일반,"백세희, 강민주, 신이랑, 고은실, 권소정, 유화, 한빛나",2014,오빠 바이러스
230,레드벨벳,5 (4),여,780066.0,,SM,WINGS,"나영, 예슬",2014,Hair Short (헤어숏)
231,스피카.S,4,여,785143.0,B2M,CJE&M,Red Velvet (레드벨벳),"웬디 (WENDY), 아이린 (IRENE), 슬기 (SEULGI), 조이 (JOY), 예리 (YERI)",2014,행복 (Happiness)
232,레인보우 블랙,4,여,750398.0,,DSP미디어,스피카.S,,2014,남주긴 아까워?
233,베리굿,5,여,773603.0,,아시아브릿지,레인보우 블랙,"김재경, 현영 (레인보우), 오승아, 고우리",2014,Cha Cha
234,단발머리,4,여,774914.0,,크롬,베리굿 (BerryGood),"태하, 고운, 서율, 다예, 세형, 조현",,
235,마마무,4,여,750053.0,,RBW,단발머리,"다혜, 단비, 지나, 유정",2014,No Way
236,에이코어,5,여,778135.0,,두리퍼블릭,마마무(Mamamoo),"솔라 (마마무), 문별 (마마무), 휘인 (마마무), 화사 (마마무)",2014,Mr.애매모호
237,라붐,5 (6),여,783462.0,내가네트워크,NH미디어,에이코어 (A.KOR),"케미 (Kemy), 민주, 지영, 태희, 다야",2014,Payday
238,드림캐쳐,7 (5),여,1284664.0,,해피페이스,라붐(LABOUM),"솔빈 (LABOUM), 소연 (LABOUM), ZN (LABOUM), 해인 (LABOUM), 유정 (LABOUM)",2014,두근두근
239,딸기우유,2,여,787080.0,,크롬,드림캐쳐,"지유, 한동, 시연, 가현, 수아, 유현, 다미",,
240,러블리즈,8,여,789331.0,,울림,크레용팝-딸기우유,"초아 (크레용팝), 웨이 (크레용팝)",,
241,워너비,5 (6),여,790377.0,,제니스미디어콘텐츠,러블리즈,"유지애, 베이비소울 (러블리즈), JIN, Kei (러블리즈), 정예인, 이미주, 서지수, 류수정 (러블리즈)",2014,Candy Jelly Love
242,소나무,7,여,792822.0,,TS,워너비 (WANNA.B),"세진, 은솜, 아미, 린아, 로은",2014,My Type
243,블락비 바스타즈,3,남,858846.0,,세븐시즌스,소나무 (SONAMOO),"NEW SUN(뉴썬), High.D (하이디), 의진, D.ana(디애나), 나현, 민재, 수민",2014,Deja Vu
244,로미오,7,남,860516.0,,CT,블락비 바스타즈,"P.O (블락비), 유권 (블락비), 비범 (블락비)",,
